id,name,district,lat,lng,population,risk_score,tier,slope_score,twi_score,landcover_score,rainfall_score,pct_elderly,pct_children
HAB001,Cherrapunji,East Khasi Hills,25.2702,91.7323,14816,9.2,Immediate,0.95,0.80,0.60,0.99,10.5,25.2
HAB002,Joshimath,Chamoli,30.5506,79.5660,16709,9.5,Immediate,0.98,0.50,0.65,0.70,12.1,22.4
HAB003,Majuli,Majuli,26.9536,94.2494,167304,8.8,Immediate,0.10,0.95,0.80,0.85,15.2,28.5
HAB004,Bhuj,Kutch,23.2420,69.6669,143000,7.5,Short-term,0.20,0.20,0.40,0.10,8.4,20.1
HAB005,Gosaba,South 24 Parganas,22.1648,88.8077,24696,8.1,Immediate,0.10,0.90,0.70,0.90,14.3,30.1
HAB006,Manali,Kullu,32.2396,77.1887,8096,8.6,Immediate,0.85,0.65,0.55,0.80,11.2,18.4
HAB007,Silchar,Cachar,24.8333,92.7789,172830,7.9,Short-term,0.15,0.88,0.75,0.92,10.1,24.5
HAB008,Latur,Latur,18.4088,76.5604,382754,6.8,Medium-term,0.10,0.30,0.40,0.20,9.5,21.0
HAB009,Bongaon,North 24 Parganas,23.0700,88.8200,108864,7.2,Short-term,0.10,0.75,0.65,0.85,12.0,26.2
HAB010,Kendrapara,Kendrapara,20.5000,86.4200,47006,8.5,Immediate,0.05,0.85,0.70,0.80,12.5,23.1
HAB011,Jamshedpur,East Singhbhum,22.8046,86.2029,629659,7.8,Short-term,0.15,0.65,0.50,0.60,10.2,21.5
